race,low_side,high_side,pop,pop_total,pop_perc
Asian,0,10000,1342,12064,0.1112400531
Asian,10000,15000,74,12064,0.006133952255
Asian,15000,20000,28,12064,0.002320954907
Asian,20000,25000,165,12064,0.0136770557
Asian,25000,30000,0,12064,0
Asian,30000,35000,281,12064,0.02329244032
Asian,35000,40000,176,12064,0.01458885942
Asian,40000,45000,150,12064,0.012433687
Asian,45000,50000,710,12064,0.05885278515
Asian,50000,60000,597,12064,0.04948607427
Asian,60000,70000,983,12064,0.08148209549
Asian,70000,100000,1458,12064,0.1208554377
Asian,100000,125000,979,12064,0.0811505305
Asian,125000,150000,771,12064,0.06390915119
Asian,150000,200000,1782,12064,0.1477122016
Asian,200000,500000,2568,12064,0.2128647215
Black,0,10000,17257,123507,0.1397248739
Black,10000,15000,8229,123507,0.06662780247
Black,15000,20000,6735,123507,0.05453132211
Black,20000,25000,4333,123507,0.03508303173
Black,25000,30000,5825,123507,0.04716331868
Black,30000,35000,4050,123507,0.03279166363
Black,35000,40000,7321,123507,0.05927599245
Black,40000,45000,3695,123507,0.02991733262
Black,45000,50000,5977,123507,0.04839401815
Black,50000,60000,8969,123507,0.0726193657
Black,60000,70000,9471,123507,0.07668391265
Black,70000,100000,13293,123507,0.1076295271
Black,100000,125000,7855,123507,0.06359963403
Black,125000,150000,7562,123507,0.06122729886
Black,150000,200000,5496,123507,0.04449950205
Black,200000,500000,7439,123507,0.06023140389
Hispanic,0,10000,826,23853,0.03462876787
Hispanic,10000,15000,290,23853,0.01215779986
Hispanic,15000,20000,163,23853,0.006833521989
Hispanic,20000,25000,160,23853,0.006707751645
Hispanic,25000,30000,434,23853,0.01819477634
Hispanic,30000,35000,284,23853,0.01190625917
Hispanic,35000,40000,1382,23853,0.05793820484
Hispanic,40000,45000,680,23853,0.02850794449
Hispanic,45000,50000,268,23853,0.01123548401
Hispanic,50000,60000,1439,23853,0.06032784136
Hispanic,60000,70000,2801,23853,0.1174275772
Hispanic,70000,100000,3214,23853,0.1347419612
Hispanic,100000,125000,3156,23853,0.1323104012
Hispanic,125000,150000,2030,23853,0.085104599
Hispanic,150000,200000,2429,23853,0.1018320547
Hispanic,200000,500000,4297,23853,0.1801450551
Other,0,10000,117,763,0.1533420708
Other,10000,15000,79,763,0.1035386632
Other,15000,20000,68,763,0.08912188729
Other,20000,25000,17,763,0.02228047182
Other,25000,30000,56,763,0.07339449541
Other,30000,35000,32,763,0.04193971166
Other,35000,40000,37,763,0.04849279161
Other,40000,45000,32,763,0.04193971166
Other,45000,50000,22,763,0.02883355177
Other,50000,60000,116,763,0.1520314548
Other,60000,70000,54,763,0.07077326343
Other,70000,100000,48,763,0.0629095675
Other,100000,125000,25,763,0.03276539974
Other,125000,150000,21,763,0.02752293578
Other,150000,200000,18,763,0.02359108781
Other,200000,500000,21,763,0.02752293578
White,0,10000,3494,138500,0.02522743682
White,10000,15000,1313,138500,0.009480144404
White,15000,20000,1294,138500,0.009342960289
White,20000,25000,1043,138500,0.007530685921
White,25000,30000,755,138500,0.005451263538
White,30000,35000,1610,138500,0.01162454874
White,35000,40000,1828,138500,0.01319855596
White,40000,45000,1310,138500,0.009458483755
White,45000,50000,1715,138500,0.01238267148
White,50000,60000,4157,138500,0.03001444043
White,60000,70000,7990,138500,0.05768953069
White,70000,100000,15678,138500,0.113198556
White,100000,125000,15580,138500,0.1124909747
White,125000,150000,11599,138500,0.08374729242
White,150000,200000,21793,138500,0.1573501805
White,200000,500000,47341,138500,0.3418122744
